ID,Hora,Lugar,Tipo,Titulo_en,Titulo_es,Titulo_pt,Titulo_ja,Orador,Cargo_en,Cargo_es,Cargo_pt,Cargo_ja,Descripcion_en,Descripcion_es,Descripcion_pt,Descripcion_ja,ImagenOrador
1,09:00 - 10:00,Ambos,Networking,"Welcome, Check-in & Breakfast","Bienvenida, Check-in y Desayuno","Boas-vindas, Check-in e Café da Manhã",ウェルカム、チェックイン＆朝食,Staff,Event,Evento,Evento,イベント,"Registration, accreditations and welcome breakfast for all attendees.","Registro, acreditaciones y desayuno de bienvenida para todos los asistentes.","Inscrição, credenciamento e café da manhã de boas-vindas para todos os participantes.",登録、受付、そして参加者の皆様へのウェルカム朝食。,/images/coffee.png
2,10:00 - 10:15,Auditorio,Welcome,Welcome & Event Overview,Bienvenida y Resumen del Evento,Boas-vindas e Visão Geral do Evento,ようこそ＆イベント概要,Staff,Event,Evento,Evento,イベント,Official presentation of the Cardano Tech Summit Rio and summary of the day's agenda.,Presentación oficial del Cardano Tech Summit Rio y resumen de la jornada.,Apresentação oficial do Cardano Tech Summit Rio e resumo da agenda do dia.,Cardano Tech Summit Rioの公式プレゼンテーションと一日の議題の概要。,/images/favicon.png
3,10:15 - 10:30,Auditorio,Keynote,Opportunities in Brazil,Oportunidades en Brasil,Oportunidades no Brasil,ブラジルでの機会,Pres. Serpro - Alexandre Amorim,President of Serpro,Presidente de Serpro,Presidente da Serpro,Serpro社長,Opening keynote on the crypto ecosystem in Brazil and the role of public institutions.,Keynote inaugural sobre el ecosistema cripto en Brasil y el rol de las instituciones públicas.,Palestra de abertura sobre o ecossistema cripto no Brasil e o papel das instituições públicas.,ブラジルの暗号エコシステムと公的機関の役割に関するオープニング基調講演。,/images/alexandre_amorim.jpg
4,10:30 - 11:00,Auditorio,Panel,Gov. Stage,Gov. Stage,Palco Gov,ガバメントステージ,"Serpro, Petrobras, CVM, FINEP",Institutional Representatives,Representantes Institucionales,Representantes Institucionais,機関代表,Panel discussion on the role of institutions in the new digital economy.,Panel de discusión sobre el rol de las instituciones en la nueva economía digital.,Painel de discussão sobre o papel das instituições na nova economia digital.,新しいデジタル経済における機関の役割に関するパネルディスカッション。,/images/gov_panel.jpg
5,10:30 - 11:15,Arquibancada,Taller,Decoding Cardano DeFi,Decodificando Cardano DeFi,Decodificando o DeFi da Cardano,Cardano DeFiの解読,Exura Labs,Exura Team,Equipo Exura,Equipe Exura,Exuraチーム,"A hands-on workshop to understand decentralized finance on Cardano: ""Turning UTXOs into Portfolios"".","Taller práctico para entender las finanzas descentralizadas en Cardano: ""Turning UTXOs into Portfolios"".","Um workshop prático para entender as finanças descentralizadas na Cardano: ""Transformando UTXOs em Portfólios"".",Cardano上の分散型金融を理解するための実践的なワークショップ：「UTXOをポートフォリオに変える」。,/images/exura_labs.jpg
6,11:00 - 11:15,Auditorio,Keynote,Cardano Foundation in LATAM,Cardano Foundation en LATAM,Cardano Foundation na LATAM,LATAMにおけるCardano財団,Rafael Fraga,Cardano Foundation,Cardano Foundation,Cardano Foundation,Cardano財団,Presentation on the vision and projects of the Cardano Foundation for Latin America.,Presentación sobre la visión y proyectos de la Cardano Foundation para Latinoamérica.,Apresentação sobre a visão e os projetos da Cardano Foundation para a América Latina.,ラテンアメリカにおけるCardano財団のビジョンとプロジェクトに関するプレゼンテーション。,/images/rafafraga.jpg
7,11:15 - 12:00,Arquibancada,Taller,dApp Development on UTXO,Desarrollo de dApps en UTXO,Desenvolvimento de dApps em UTXO,UTXOでのdApp開発,TxPipe,TxPipe Team,Equipo TxPipe,Equipe TxPipe,TxPipeチーム,Introduction to the development of decentralized applications on Cardano's UTXO model.,Introducción al desarrollo de aplicaciones descentralizadas sobre el modelo UTXO de Cardano.,Introdução ao desenvolvimento de aplicações descentralizadas no modelo UTXO da Cardano.,CardanoのUTXOモデル上での分散型アプリケーション開発入門。,/images/txpipe.png
8,11:15 - 11:55,Auditorio,Panel,SAF Demo,Demo SAF,Demo SAF,SAFデモ,"PETROBRAS, PUC-Rio, SERPRO, CF",Technical Experts,Expertos Técnicos,Especialistas Técnicos,技術専門家,Demonstration and technical panel on Digital Asset (SAF) solutions.,Demostración y panel técnico sobre soluciones de Activos Digitales (SAF).,Demonstração e painel técnico sobre soluções de Ativos Digitais (SAF).,デジタルアセット（SAF）ソリューションに関するデモンストレーションと技術パネル。,/images/saf_demo.jpg
9,12:00 - 12:30,Arquibancada,Taller,Educational Innovation with S.A.S,Innovación Educativa con S.A.S,Inovação Educacional com S.A.S,S.A.Sによる教育革新,Mitrandir,Mitrandir Team,Equipo Mitrandir,Equipe Mitrandir,Mitrandirチーム,Workshop on the Mitrandir S.A.S Token for financial education.,Taller sobre el Token Mitrandir S.A.S para la formación financiera.,Workshop sobre o Token Mitrandir S.A.S para educação financeira.,金融教育のためのMitrandir S.A.Sトークンに関するワークショップ。,/images/mitrandir.jpg
10,12:00 - 12:30,Auditorio,Fireside,Intersect & Community in Brazil,Intersect & Comunidad en Brasil,Intersect e Comunidade no Brasil,ブラジルにおけるIntersectとコミュニティ,Comm. Builders,Intersect,Intersect,Intersect,Intersect,A cozy chat about community growth and the role of Intersect in Brazil.,Charla cercana sobre el crecimiento de la comunidad y el rol de Intersect en Brasil.,Uma conversa sobre o crescimento da comunidade e o papel da Intersect no Brasil.,ブラジルにおけるコミュニティの成長とIntersectの役割についてのチャット。,/images/intersect.jpg
